 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; ALP-AL00 Build/HUAWEIALP-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo X7 Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; OPPO R9s Plus Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G9200 Build/NRD90M)"
 "Dalvik/1.6.0 (Linux; U; Android 4.4.4; OPPO R7 Build/KTU84P)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; OPPO A37m Build/LMY47I)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; EML-TL00 Build/HUAWEIEML-TL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R11s Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; OPPO A57 Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9s L Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 5.0.2; vivo Y51 Build/LRX22G)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; vivo Y55 Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; FIG-TL00 Build/HUAWEIFIG-TL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; MIX MIUI/V9.5.2.0.NAHCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; MI MAX 2 MIUI/V9.5.5.0.NDDCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0; EVA-AL10 Build/HUAWEIEVA-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Mi Note 3 MIUI/V9.5.10.0.NCHCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; OPPO A33 Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; OPPO R9s Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; Mi Note 2 MIUI/V9.5.2.0.NADCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; MI 6 MIUI/V9.6.2.0.OCACNFD)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; VTR-AL00 Build/HUAWEIVTR-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; PIC-AL00 Build/HUAWEIPIC-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; PIC-TL00 Build/HUAWEIPIC-TL00)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-G9500 Build/R16NW)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0; Le X620 Build/HEXCNFN5902812161S)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J3119 Build/LMY47X)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; BLN-TL00 Build/HONORBLN-TL00)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; HUAWEI TIT-TL00 Build/HUAWEITIT-TL00)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; HWI-AL00 Build/HUAWEIHWI-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; Redmi 4X MIUI/V9.5.3.0.NAMCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; HUAWEI CAZ-AL10 Build/HUAWEICAZ-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0; Le X620 Build/HEXCNFN5902606111S)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; MI 6 MIUI/8.5.8)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; vivo Y66 Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; OPPO A59s Build/LMY47I)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo X7 Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R11s Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; 1711-A01 Build/NMF26F)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo X7 Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; MHA-AL00 Build/HUAWEIMHA-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; Redmi 5 Plus MIUI/V9.6.1.0.NEGCNFD)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; HUAWEI NXT-AL10 Build/HUAWEINXT-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; VKY-AL00 Build/HUAWEIVKY-AL00)"
 "Mozilla/5.0 (Linux; U; Android 7.0; zh-CN; Redmi Note 4X Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.108 UCBrowser/11.9.4.974 UWS/2.14.0.9 Mobile Safari/537.36 AliApp(TB/7.9.2) UCBS/2.11.1.1 TTID/10001401@taobao_android_7.9.2 WindVane/8.3.0 1080X1920"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; BKL-AL20 Build/HUAWEIBKL-AL20)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; EVA-DL00 Build/HUAWEIEVA-DL00)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; OPPO R9 Plusm A Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Mi Note 3 MIUI/8.4.28)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9s Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; FRD-AL10 Build/HUAWEIFRD-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; SM-C7000 Build/NRD90M)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; HWI-TL00 Build/HUAWEIHWI-TL00)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; OPPO R9m Build/LMY47I)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G9350 Build/NRD90M)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; BND-AL10 Build/HONORBND-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R11 Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; OPPO R9 Plustm A Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; WAS-AL00 Build/HUAWEIWAS-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; HUAWEI RIO-AL00 Build/HuaweiRIO-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; OPPO R9tm Build/LMY47I)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; vivo Y75 Build/N6F26Q)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; OPPO A33m Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; HUAWEI CAZ-AL10 Build/HUAWEICAZ-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; OPPO R9km Build/LMY47I)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; MI 6 MIUI/V9.6.2.0.OCACNFD)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; OPPO R7sm Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; vivo Xplay6 Build/NMF26F)"
 "Dalvik/1.6.0 (Linux; U; Android 4.4.4; Lenovo A938t Build/KTU84P)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; M621C Build/NRD90M)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; DUK-TL30 Build/HUAWEIDUK-TL30)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; OPPO R9s Plus Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9Plus Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; vivo X20A Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; 8298-A01 Build/LMY47D)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OD105 Build/NMF26F)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; GIONEE S10BL Build/NRD90M)"
 "Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-A5009 Build/LRX22G)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; BLN-AL10 Build/HONORBLN-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; MX6 Build/NMF26O)"
 "Dalvik/1.6.0 (Linux; U; Android 4.4.4; CHM-CL00 Build/CHM-CL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; VTR-AL00 Build/HUAWEIVTR-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R11 Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R11st Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; TRT-AL00A Build/HUAWEITRT-AL00A)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; MP1701 Build/NMF26O)"
 "Dalvik/2.1.0 (Linux; U; Android 5.0; SM-N9002 Build/LRX21V)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO A77 Build/NMF26F)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; BLN-AL20 Build/HONORBLN-AL20)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9s Plus Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; MI 5 MIUI/V9.5.2.0.NAACNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; VKY-AL00 Build/HUAWEIVKY-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo X21UD A Build/OPM1.171019.011)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; PAAM00 Build/OPM1.171019.011)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; EVA-AL10 Build/HUAWEIEVA-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; Redmi Note 5 MIUI/8.6.14)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; EML-AL00 Build/HUAWEIEML-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 5.0.2; vivo X6A Build/LRX22G)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9 Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo X21 Build/OPM1.171019.011)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R11 Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OS105 Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; Redmi 4 MIUI/V9.5.2.0.MBECNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; SM-C5000 Build/NRD90M)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; BAC-TL00 Build/HUAWEIBAC-TL00)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; VKY-AL00 Build/HUAWEIVKY-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0; HUAWEI MT7-CL00 Build/HuaweiMT7-CL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo Y79A Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; MI 5X MIUI/V9.5.3.0.NDBCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; vivo X20A Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; BKL-AL20 Build/HUAWEIBKL-AL20)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; VTR-AL00 Build/HUAWEIVTR-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; PRO 6s Build/NMF26O)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9 Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; SLA-AL00 Build/HUAWEISLA-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; PACM00 Build/O11019)"
 "Dalvik/2.1.0 (Linux; U; Android 5.0.2; Redmi Note 3 MIUI/V9.5.1.0.LHNCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; ANE-AL00 Build/HUAWEIANE-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo X6S A Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; TRT-AL00A Build/HUAWEITRT-AL00A)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0; OPPO A59st Build/MRA58K)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; HUAWEI TIT-TL00 Build/HUAWEITIT-TL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9 Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; MI 5 MIUI/V9.5.1.0.NAACNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo X7 Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo X6S A Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; MP1602 Build/NMF26O)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; COL-AL10 Build/HUAWEICOL-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; OPPO R9s Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; GIONEE S10C Build/NMF26F)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; PAAM00 Build/OPM1.171019.011)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; LLD-AL00 Build/HONORLLD-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9i Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; vivo X9i Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9s Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9 Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; Hisense F31 Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; MP1701 Build/NMF26O)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; FLA-AL10 Build/HUAWEIFLA-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; YU FLY F9 Build/NMF26F)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0; MX6 Build/MRA58K)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; Redmi Note 4X MIUI/V9.5.2.0.NCFCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9s L Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; SM-C7100 Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; M5 Note Build/NRD90M)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; OPPO R9tm Build/LMY47I)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo V3Max A Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R11s Plus Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; OPPO R9m Build/LMY47I)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; Redmi 4A MIUI/V8.1.8.0.MCCCNDI)"
